Sample Rate: 61.5384615384615,,,,,,,,,,,
Relative Time,Date,Time Stamp Local,Cheek_Volt,Cheek_Heat Flux,Cheek_Temp ,Calf_Volt,Calf_Heat Flux,Calf_Temp,Wrst_Volt,Wrst_Heat Flux,Wrst_Temp
4.42,9/11/2024,2:37:46 PM,0.00146484375,79.009911,34.42993164,0.001403808594,74.90974353,33.42285156,0.0006713867188,70.15535201,35.56518555
4.55,9/11/2024,2:37:46 PM,0.001342773438,72.42575175,34.46655273,0.001556396484,83.05210696,33.49609375,0.000732421875,76.53311129,35.56518555
4.68,9/11/2024,2:37:46 PM,0.001312255859,70.77971194,34.46655273,0.001403808594,74.90974353,33.45947266,0.0008239746094,86.0997502,35.60180664
4.81,9/11/2024,2:37:46 PM,0.001373291016,74.07179157,34.46655273,0.001495361328,79.79516159,33.49609375,0.0007934570313,82.91087056,35.56518555
4.94,9/11/2024,2:37:46 PM,0.001373291016,74.07179157,34.42993164,0.001495361328,79.79516159,33.42285156,0.0008544921875,89.28862983,35.52856445
5.07,9/11/2024,2:37:47 PM,0.001342773438,72.42575175,34.42993164,0.001556396484,83.05210696,33.42285156,0.0008239746094,86.0997502,35.52856445
5.2,9/11/2024,2:37:47 PM,0.001434326172,77.36387119,34.50317383,0.001525878906,81.42363427,33.49609375,0.0007019042969,73.34423165,35.60180664
5.33,9/11/2024,2:37:47 PM,0.001312255859,70.77971194,34.46655273,0.001373291016,73.28127084,33.45947266,0.0008544921875,89.28862983,35.60180664
5.46,9/11/2024,2:37:47 PM,0.001312255859,70.77971194,34.46655273,0.001495361328,79.79516159,33.45947266,0.0008544921875,89.28862983,35.60180664
5.59,9/11/2024,2:37:47 PM,0.00146484375,79.009911,34.46655273,0.001342773438,71.65279816,33.45947266,0.0006713867188,70.15535201,35.52856445
5.72,9/11/2024,2:37:47 PM,0.00146484375,79.009911,34.46655273,0.001342773438,71.65279816,33.45947266,0.0008239746094,86.0997502,35.56518555
5.85,9/11/2024,2:37:47 PM,0.001434326172,77.36387119,34.42993164,0.001434326172,76.53821622,33.49609375,0.0009155273438,95.66638911,35.56518555
5.98,9/11/2024,2:37:47 PM,0.001556396484,83.94803044,34.42993164,0.001251220703,66.7673801,33.45947266,0.0008850097656,92.47750947,35.56518555
6.11,9/11/2024,2:37:48 PM,0.00146484375,79.009911,34.46655273,0.001342773438,71.65279816,33.45947266,0.0007629394531,79.72199092,35.56518555
6.24,9/11/2024,2:37:48 PM,0.00146484375,79.009911,34.46655273,0.001342773438,71.65279816,33.42285156,0.000732421875,76.53311129,35.56518555
6.37,9/11/2024,2:37:48 PM,0.001525878906,82.30199063,34.42993164,0.00146484375,78.1666889,33.45947266,0.0008239746094,86.0997502,35.56518555
6.5,9/11/2024,2:37:48 PM,0.001678466797,90.53218969,34.46655273,0.001342773438,71.65279816,33.45947266,0.0008239746094,86.0997502,35.63842773
6.63,9/11/2024,2:37:48 PM,0.001556396484,83.94803044,34.50317383,0.001312255859,70.02432547,33.53271484,0.0008239746094,86.0997502,35.63842773
6.76,9/11/2024,2:37:48 PM,0.001434326172,77.36387119,34.50317383,0.001434326172,76.53821622,33.53271484,0.0008850097656,92.47750947,35.60180664
6.89,9/11/2024,2:37:48 PM,0.001617431641,87.24011007,34.50317383,0.001342773438,71.65279816,33.53271484,0.0008850097656,92.47750947,35.56518555
7.02,9/11/2024,2:37:49 PM,0.001708984375,92.1782295,34.46655273,0.001159667969,61.88196205,33.45947266,0.000732421875,76.53311129,35.52856445
7.15,9/11/2024,2:37:49 PM,0.00146484375,79.009911,34.46655273,0.00146484375,78.1666889,33.56933594,0.0008544921875,89.28862983,35.63842773
7.28,9/11/2024,2:37:49 PM,0.001586914063,85.59407025,34.50317383,0.001373291016,73.28127084,33.53271484,0.0008544921875,89.28862983,35.63842773
7.41,9/11/2024,2:37:49 PM,0.001556396484,83.94803044,34.53979492,0.001220703125,65.13890742,33.56933594,0.0007629394531,79.72199092,35.63842773
7.54,9/11/2024,2:37:49 PM,0.001708984375,92.1782295,34.50317383,0.001373291016,73.28127084,33.45947266,0.0008239746094,86.0997502,35.56518555
7.67,9/11/2024,2:37:49 PM,0.001739501953,93.82426932,34.42993164,0.001342773438,71.65279816,33.45947266,0.0008239746094,86.0997502,35.56518555
7.8,9/11/2024,2:37:49 PM,0.001708984375,92.1782295,34.42993164,0.001403808594,74.90974353,33.45947266,0.0008850097656,92.47750947,35.56518555
7.93,9/11/2024,2:37:49 PM,0.001556396484,83.94803044,34.39331055,0.001342773438,71.65279816,33.45947266,0.000732421875,76.53311129,35.52856445
8.06,9/11/2024,2:37:50 PM,0.001556396484,83.94803044,34.42993164,0.001342773438,71.65279816,33.45947266,0.0008544921875,89.28862983,35.52856445
8.19,9/11/2024,2:37:50 PM,0.001678466797,90.53218969,34.42993164,0.001342773438,71.65279816,33.42285156,0.0008544921875,89.28862983,35.52856445
8.32,9/11/2024,2:37:50 PM,0.001525878906,82.30199063,34.42993164,0.00146484375,78.1666889,33.45947266,0.0009460449219,98.85526874,35.56518555
8.45,9/11/2024,2:37:50 PM,0.001495361328,80.65595082,34.42993164,0.001403808594,74.90974353,33.45947266,0.0007934570313,82.91087056,35.52856445
8.58,9/11/2024,2:37:50 PM,0.001586914063,85.59407025,34.46655273,0.001403808594,74.90974353,33.45947266,0.0009765625,102.0441484,35.52856445
8.71,9/11/2024,2:37:50 PM,0.001525878906,82.30199063,34.42993164,0.001403808594,74.90974353,33.42285156,0.001007080078,105.233028,35.52856445
